no,source,destination,protocol,length,info,rf_prob
1,162.159.136.234,192.168.0.10,TCP,105,Ether / IP / TCP 162.159.136.234:https > 192.168.0.10:60274 PA / Raw,
3,192.168.0.10,4.213.25.240,TCP,155,Ether / IP / TCP 192.168.0.10:62286 > 4.213.25.240:https PA / Raw,
4,192.168.0.10,104.18.18.125,TCP,416,Ether / IP / TCP 192.168.0.10:60278 > 104.18.18.125:https PA / Raw,
6,104.18.18.125,192.168.0.10,TCP,89,Ether / IP / TCP 104.18.18.125:https > 192.168.0.10:60278 PA / Raw,
7,104.18.18.125,192.168.0.10,TCP,89,Ether / IP / TCP 104.18.18.125:https > 192.168.0.10:60278 PA / Raw,
9,4.213.25.240,192.168.0.10,TCP,225,Ether / IP / TCP 4.213.25.240:https > 192.168.0.10:62286 PA / Raw,
11,192.168.0.10,35.186.224.45,TCP,97,Ether / IP / TCP 192.168.0.10:60279 > 35.186.224.45:https PA / Raw,
12,104.18.18.125,192.168.0.10,TCP,136,Ether / IP / TCP 104.18.18.125:https > 192.168.0.10:60278 PA / Raw,
13,35.186.224.45,192.168.0.10,TCP,54,Ether / IP / TCP 35.186.224.45:https > 192.168.0.10:60279 A,
14,35.186.224.45,192.168.0.10,TCP,94,Ether / IP / TCP 35.186.224.45:https > 192.168.0.10:60279 PA / Raw,
15,192.168.0.10,104.18.18.125,TCP,54,Ether / IP / TCP 192.168.0.10:60278 > 104.18.18.125:https A,
16,192.168.0.10,35.186.224.45,TCP,54,Ether / IP / TCP 192.168.0.10:60279 > 35.186.224.45:https A,
17,192.168.0.10,54.196.118.119,TCP,55,Ether / IP / TCP 192.168.0.10:60609 > 54.196.118.119:https A / Raw,
18,54.196.118.119,192.168.0.10,TCP,66,Ether / IP / TCP 54.196.118.119:https > 192.168.0.10:60609 A,
19,35.71.162.24,192.168.0.10,TCP,93,Ether / IP / TCP 35.71.162.24:https > 192.168.0.10:60783 PA / Raw,
21,35.71.162.24,192.168.0.10,TCP,54,Ether / IP / TCP 35.71.162.24:https > 192.168.0.10:60783 FA,
22,192.168.0.10,35.71.162.24,TCP,54,Ether / IP / TCP 192.168.0.10:60783 > 35.71.162.24:https A,
24,192.168.0.10,35.71.162.24,TCP,93,Ether / IP / TCP 192.168.0.10:60783 > 35.71.162.24:https PA / Raw,
25,192.168.0.10,35.71.162.24,TCP,54,Ether / IP / TCP 192.168.0.10:60783 > 35.71.162.24:https FA,
26,35.71.162.24,192.168.0.10,TCP,54,Ether / IP / TCP 35.71.162.24:https > 192.168.0.10:60783 A,
27,35.71.162.24,192.168.0.10,TCP,54,Ether / IP / TCP 35.71.162.24:https > 192.168.0.10:60783 A,
28,110.93.151.162,192.168.0.10,TCP,93,Ether / IP / TCP 110.93.151.162:https > 192.168.0.10:60785 PA / Raw,
29,110.93.151.162,192.168.0.10,TCP,78,Ether / IP / TCP 110.93.151.162:https > 192.168.0.10:60785 FPA / Raw,
30,192.168.0.10,110.93.151.162,TCP,54,Ether / IP / TCP 192.168.0.10:60785 > 110.93.151.162:https A,
32,110.93.151.162,192.168.0.10,TCP,54,Ether / IP / TCP 110.93.151.162:https > 192.168.0.10:60785 A,
34,192.168.0.10,142.250.198.4,UDP,1292,Ether / IP / UDP 192.168.0.10:62700 > 142.250.198.4:https / Raw,
36,192.168.0.10,142.250.198.4,UDP,1288,Ether / IP / UDP 192.168.0.10:62700 > 142.250.198.4:https / Raw,
38,192.168.0.10,142.250.198.4,UDP,334,Ether / IP / UDP 192.168.0.10:62700 > 142.250.198.4:https / Raw,
40,142.250.198.4,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
42,192.168.0.10,142.250.198.4,UDP,160,Ether / IP / UDP 192.168.0.10:62700 > 142.250.198.4:https / Raw,
44,142.250.198.4,192.168.0.10,UDP,353,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
46,192.168.0.10,142.250.198.4,UDP,120,Ether / IP / UDP 192.168.0.10:62700 > 142.250.198.4:https / Raw,
48,142.250.198.4,192.168.0.10,UDP,126,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
50,142.250.198.4,192.168.0.10,UDP,70,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
52,142.250.198.4,192.168.0.10,UDP,168,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
54,142.250.198.4,192.168.0.10,UDP,1132,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
56,192.168.0.10,142.250.198.4,UDP,77,Ether / IP / UDP 192.168.0.10:62700 > 142.250.198.4:https / Raw,
58,142.250.198.4,192.168.0.10,UDP,554,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
60,142.250.198.4,192.168.0.10,UDP,109,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
62,192.168.0.10,142.250.198.4,UDP,73,Ether / IP / UDP 192.168.0.10:62700 > 142.250.198.4:https / Raw,
64,142.250.198.4,192.168.0.10,UDP,236,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
66,142.250.198.4,192.168.0.10,UDP,67,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
68,192.168.0.10,219.250.36.130,UDP,71,Ether / IP / UDP / DNS Qry b'chatgpt.com.',
70,192.168.0.10,172.64.155.209,TCP,93,Ether / IP / TCP 192.168.0.10:60786 > 172.64.155.209:https PA / Raw,
71,172.64.155.209,192.168.0.10,TCP,54,Ether / IP / TCP 172.64.155.209:https > 192.168.0.10:60786 A,
73,172.64.155.209,192.168.0.10,TCP,93,Ether / IP / TCP 172.64.155.209:https > 192.168.0.10:60786 PA / Raw,
75,219.250.36.130,192.168.0.10,UDP,132,Ether / IP / UDP / DNS Ans,
77,142.250.198.4,192.168.0.10,UDP,1288,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
79,142.250.198.4,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
81,142.250.198.4,192.168.0.10,UDP,199,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
83,192.168.0.10,142.250.198.4,UDP,73,Ether / IP / UDP 192.168.0.10:62700 > 142.250.198.4:https / Raw,
85,142.250.198.4,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
87,142.250.198.4,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
89,192.168.0.10,142.250.198.4,UDP,73,Ether / IP / UDP 192.168.0.10:62700 > 142.250.198.4:https / Raw,
91,142.250.198.4,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
93,142.250.198.4,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
95,192.168.0.10,142.250.198.4,UDP,73,Ether / IP / UDP 192.168.0.10:62700 > 142.250.198.4:https / Raw,
97,142.250.198.4,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
99,142.250.198.4,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
100,192.168.0.10,142.250.198.4,UDP,73,Ether / IP / UDP 192.168.0.10:62700 > 142.250.198.4:https / Raw,
102,142.250.198.4,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
104,142.250.198.4,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
106,192.168.0.10,142.250.198.4,UDP,73,Ether / IP / UDP 192.168.0.10:62700 > 142.250.198.4:https / Raw,
108,142.250.198.4,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
110,192.168.0.10,142.250.198.4,UDP,73,Ether / IP / UDP 192.168.0.10:62700 > 142.250.198.4:https / Raw,
112,142.250.198.4,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
114,142.250.198.4,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
116,192.168.0.10,142.250.198.4,UDP,73,Ether / IP / UDP 192.168.0.10:62700 > 142.250.198.4:https / Raw,
118,142.250.198.4,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
120,142.250.198.4,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
122,192.168.0.10,142.250.198.4,UDP,73,Ether / IP / UDP 192.168.0.10:62700 > 142.250.198.4:https / Raw,
123,142.250.198.4,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
125,192.168.0.10,142.250.198.4,UDP,73,Ether / IP / UDP 192.168.0.10:62700 > 142.250.198.4:https / Raw,
127,142.250.198.4,192.168.0.10,UDP,794,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
129,142.250.198.4,192.168.0.10,UDP,66,Ether / IP / UDP 142.250.198.4:https > 192.168.0.10:62700 / Raw,
131,192.168.0.10,219.250.36.130,UDP,88,Ether / IP / UDP / DNS Qry b'ogads-pa.clients6.google.com.',
133,219.250.36.130,192.168.0.10,UDP,138,Ether / IP / UDP / DNS Ans,
135,192.168.0.10,142.250.76.138,UDP,1292,Ether / IP / UDP 192.168.0.10:53772 > 142.250.76.138:https / Raw,
137,172.64.155.209,192.168.0.10,TCP,346,Ether / IP / TCP 172.64.155.209:https > 192.168.0.10:60786 PA / Raw,
139,142.250.76.138,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.76.138:https > 192.168.0.10:53772 / Raw,
141,142.250.76.138,192.168.0.10,UDP,351,Ether / IP / UDP 142.250.76.138:https > 192.168.0.10:53772 / Raw,
143,142.250.76.138,192.168.0.10,UDP,94,Ether / IP / UDP 142.250.76.138:https > 192.168.0.10:53772 / Raw,
145,192.168.0.10,142.250.76.138,UDP,120,Ether / IP / UDP 192.168.0.10:53772 > 142.250.76.138:https / Raw,
147,192.168.0.10,142.250.76.138,UDP,73,Ether / IP / UDP 192.168.0.10:53772 > 142.250.76.138:https / Raw,
149,192.168.0.10,142.250.76.138,UDP,1094,Ether / IP / UDP 192.168.0.10:53772 > 142.250.76.138:https / Raw,
151,142.250.76.138,192.168.0.10,UDP,162,Ether / IP / UDP 142.250.76.138:https > 192.168.0.10:53772 / Raw,
153,142.250.76.138,192.168.0.10,UDP,71,Ether / IP / UDP 142.250.76.138:https > 192.168.0.10:53772 / Raw,
155,172.217.25.174,192.168.0.10,UDP,70,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
157,172.217.25.174,192.168.0.10,UDP,1288,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
158,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
160,172.217.25.174,192.168.0.10,UDP,1189,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
162,192.168.0.10,172.217.25.174,UDP,73,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
164,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
166,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
168,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
170,192.168.0.10,172.217.25.174,UDP,73,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
172,192.168.0.10,172.217.25.174,UDP,73,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
174,192.168.0.10,172.217.25.174,UDP,73,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
176,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
178,192.168.0.10,172.217.25.174,UDP,73,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
179,142.250.76.138,192.168.0.10,UDP,208,Ether / IP / UDP 142.250.76.138:https > 192.168.0.10:53772 / Raw,
181,192.168.0.10,142.250.76.138,UDP,75,Ether / IP / UDP 192.168.0.10:53772 > 142.250.76.138:https / Raw,
183,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
185,192.168.0.10,172.217.25.174,UDP,73,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
187,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
189,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
191,192.168.0.10,172.217.25.174,UDP,73,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
193,192.168.0.10,172.217.25.174,UDP,73,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
195,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
197,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
199,192.168.0.10,172.217.25.174,UDP,73,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
200,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
202,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
204,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
206,192.168.0.10,172.217.25.174,UDP,73,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
208,172.217.25.174,192.168.0.10,UDP,101,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
210,192.168.0.10,172.217.25.174,UDP,74,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
212,192.168.0.10,219.250.36.130,UDP,71,Ether / IP / UDP / DNS Qry b'i.ytimg.com.',
214,192.168.0.10,219.250.36.130,UDP,75,Ether / IP / UDP / DNS Qry b'play.google.com.',
216,219.250.36.130,192.168.0.10,UDP,183,Ether / IP / UDP / DNS Ans 172.217.161.246,
218,142.250.76.138,192.168.0.10,UDP,66,Ether / IP / UDP 142.250.76.138:https > 192.168.0.10:53772 / Raw,
220,192.168.0.10,172.217.161.246,UDP,1292,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
222,219.250.36.130,192.168.0.10,UDP,125,Ether / IP / UDP / DNS Ans,
224,192.168.0.10,172.217.161.246,UDP,867,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
226,192.168.0.10,172.217.25.174,UDP,1292,Ether / IP / UDP 192.168.0.10:52516 > 172.217.25.174:https / Raw,
228,192.168.0.10,219.250.36.130,UDP,77,Ether / IP / UDP / DNS Qry b'fonts.gstatic.com.',
229,192.168.0.10,219.250.36.130,UDP,77,Ether / IP / UDP / DNS Qry b'fonts.gstatic.com.',
231,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
233,219.250.36.130,192.168.0.10,UDP,102,Ether / IP / UDP / DNS Ans,
235,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:52516 / Raw,
237,192.168.0.10,172.217.25.163,UDP,1292,Ether / IP / UDP 192.168.0.10:63670 > 172.217.25.163:https / Raw,
239,192.168.0.10,172.217.25.163,UDP,124,Ether / IP / UDP 192.168.0.10:63670 > 172.217.25.163:https / Raw,
241,172.217.161.246,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
243,172.217.161.246,192.168.0.10,UDP,978,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
245,172.217.161.246,192.168.0.10,UDP,181,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
247,192.168.0.10,172.217.161.246,UDP,73,Ether / IP / UDP 192.168.0.10:64270 > 172.217.161.246:https / Raw,
249,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:52516 / Raw,
251,192.168.0.10,172.217.25.174,UDP,81,Ether / IP / UDP 192.168.0.10:52516 > 172.217.25.174:https / Raw,
253,192.168.0.10,172.217.25.174,UDP,1288,Ether / IP / UDP 192.168.0.10:52516 > 172.217.25.174:https / Raw,
255,192.168.0.10,172.217.25.174,UDP,605,Ether / IP / UDP 192.168.0.10:52516 > 172.217.25.174:https / Raw,
257,172.217.25.163,192.168.0.10,UDP,82,Ether / IP / UDP 172.217.25.163:https > 192.168.0.10:63670 / Raw,
258,172.217.25.163,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.163:https > 192.168.0.10:63670 / Raw,
260,172.217.161.246,192.168.0.10,UDP,162,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
262,172.217.25.174,192.168.0.10,UDP,673,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:52516 / Raw,
264,172.217.25.174,192.168.0.10,UDP,65,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:52516 / Raw,
266,192.168.0.10,172.217.25.174,UDP,74,Ether / IP / UDP 192.168.0.10:52516 > 172.217.25.174:https / Raw,
268,172.217.25.163,192.168.0.10,UDP,1201,Ether / IP / UDP 172.217.25.163:https > 192.168.0.10:63670 / Raw,
270,192.168.0.10,172.217.25.163,UDP,125,Ether / IP / UDP 192.168.0.10:63670 > 172.217.25.163:https / Raw,
272,172.217.161.246,192.168.0.10,UDP,67,Ether / IP / UDP 172.217.161.246:https > 192.168.0.10:64270 / Raw,
274,192.168.0.10,172.217.25.174,UDP,74,Ether / IP / UDP 192.168.0.10:52516 > 172.217.25.174:https / Raw,
276,172.217.25.174,192.168.0.10,UDP,892,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:52516 / Raw,
278,192.168.0.10,172.217.25.174,UDP,77,Ether / IP / UDP 192.168.0.10:52516 > 172.217.25.174:https / Raw,
280,172.217.25.163,192.168.0.10,UDP,163,Ether / IP / UDP 172.217.25.163:https > 192.168.0.10:63670 / Raw,
282,192.168.0.10,172.217.25.174,UDP,71,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
284,192.168.0.10,23.2.16.89,TCP,55,Ether / IP / TCP 192.168.0.10:60797 > 23.2.16.89:https A / Raw,
286,172.217.25.174,192.168.0.10,UDP,67,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
288,192.168.0.10,104.18.18.125,TCP,415,Ether / IP / TCP 192.168.0.10:60278 > 104.18.18.125:https PA / Raw,
289,192.168.0.10,104.18.18.125,TCP,85,Ether / IP / TCP 192.168.0.10:60278 > 104.18.18.125:https PA / Raw,
291,104.18.18.125,192.168.0.10,TCP,89,Ether / IP / TCP 104.18.18.125:https > 192.168.0.10:60278 PA / Raw,
293,192.168.0.10,172.217.25.174,UDP,71,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
295,104.18.18.125,192.168.0.10,TCP,136,Ether / IP / TCP 104.18.18.125:https > 192.168.0.10:60278 PA / Raw,
297,192.168.0.10,172.217.25.174,UDP,71,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
299,172.217.25.174,192.168.0.10,UDP,1285,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
301,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
303,172.217.25.174,192.168.0.10,UDP,483,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
305,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
307,172.217.25.174,192.168.0.10,UDP,1285,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
309,192.168.0.10,172.217.25.174,UDP,73,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
311,192.168.0.10,172.217.25.174,UDP,73,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
313,192.168.0.10,172.217.25.174,UDP,74,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
315,192.168.0.10,172.217.25.174,UDP,74,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
316,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
318,192.168.0.10,172.217.25.174,UDP,74,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
320,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
322,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
324,192.168.0.10,172.217.25.174,UDP,74,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
326,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
328,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
330,192.168.0.10,172.217.25.174,UDP,74,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
332,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
334,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
336,192.168.0.10,172.217.25.174,UDP,74,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
338,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
340,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
342,192.168.0.10,172.217.25.174,UDP,74,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
344,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
345,192.168.0.10,172.217.25.174,UDP,74,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
347,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
349,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
351,192.168.0.10,172.217.25.174,UDP,74,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
353,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
355,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
357,192.168.0.10,172.217.25.174,UDP,79,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
359,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
361,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
363,192.168.0.10,172.217.25.174,UDP,74,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
365,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
367,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
369,192.168.0.10,172.217.25.174,UDP,74,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
371,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
