src_ip,dst_ip,length,info,protocol_6
127.0.0.1,127.0.0.1,-0.08873565094161139,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56364 | TCP 53341 → 53335 | Seq: 2335731020 | Ack: 148872410 | Window: 249 | Flags: ACK,1.0
127.0.0.1,127.0.0.1,3.8156329904892896,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56365 | TCP 53335 → 53341 | Seq: 148872410 | Ack: 2335731021 | Window: 248 | Flags: ACK,1.0
127.0.0.1,127.0.0.1,-0.08873565094161139,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56366 | TCP 53342 → 53334 | Seq: 3894164316 | Ack: 1726308090 | Window: 154 | Flags: ACK,1.0
127.0.0.1,127.0.0.1,3.8156329904892896,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56367 | TCP 53334 → 53342 | Seq: 1726308090 | Ack: 3894164317 | Window: 227 | Flags: ACK,1.0
127.0.0.1,127.0.0.1,-0.08873565094161139,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56368 | TCP 50862 → 50860 | Seq: 4049032755 | Ack: 1204242695 | Window: 255 | Flags: ACK PSH,1.0
127.0.0.1,127.0.0.1,-0.44367825470805694,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56369 | TCP 50860 → 50862 | Seq: 1204242695 | Ack: 4049032756 | Window: 195 | Flags: ACK,1.0
127.0.0.1,127.0.0.1,-0.08873565094161139,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56370 | TCP 49709 → 49710 | Seq: 3640221785 | Ack: 2271459467 | Window: 255 | Flags: ACK PSH,1.0
127.0.0.1,127.0.0.1,-0.44367825470805694,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56371 | TCP 49710 → 49709 | Seq: 2271459467 | Ack: 3640221786 | Window: 261 | Flags: ACK,1.0
127.0.0.1,127.0.0.1,-0.08873565094161139,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56372 | TCP 50862 → 50860 | Seq: 4049032756 | Ack: 1204242695 | Window: 255 | Flags: ACK PSH,1.0
127.0.0.1,127.0.0.1,-0.44367825470805694,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56373 | TCP 50860 → 50862 | Seq: 1204242695 | Ack: 4049032757 | Window: 195 | Flags: ACK,1.0
127.0.0.1,127.0.0.1,-0.08873565094161139,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56374 | TCP 49709 → 49710 | Seq: 3640221786 | Ack: 2271459467 | Window: 255 | Flags: ACK PSH,1.0
127.0.0.1,127.0.0.1,-0.44367825470805694,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56375 | TCP 49710 → 49709 | Seq: 2271459467 | Ack: 3640221787 | Window: 261 | Flags: ACK,1.0
127.0.0.1,127.0.0.1,-0.08873565094161139,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56376 | TCP 50862 → 50860 | Seq: 4049032757 | Ack: 1204242695 | Window: 255 | Flags: ACK PSH,1.0
127.0.0.1,127.0.0.1,-0.44367825470805694,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56377 | TCP 50860 → 50862 | Seq: 1204242695 | Ack: 4049032758 | Window: 195 | Flags: ACK,1.0
127.0.0.1,127.0.0.1,-0.08873565094161139,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56378 | TCP 49709 → 49710 | Seq: 3640221787 | Ack: 2271459467 | Window: 255 | Flags: ACK PSH,1.0
127.0.0.1,127.0.0.1,-0.44367825470805694,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56379 | TCP 49710 → 49709 | Seq: 2271459467 | Ack: 3640221788 | Window: 261 | Flags: ACK,1.0
127.0.0.1,127.0.0.1,-0.08873565094161139,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56380 | TCP 50862 → 50860 | Seq: 4049032758 | Ack: 1204242695 | Window: 255 | Flags: ACK PSH,1.0
127.0.0.1,127.0.0.1,-0.44367825470805694,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56381 | TCP 50860 → 50862 | Seq: 1204242695 | Ack: 4049032759 | Window: 195 | Flags: ACK,1.0
127.0.0.1,127.0.0.1,-0.08873565094161139,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56382 | TCP 49709 → 49710 | Seq: 3640221788 | Ack: 2271459467 | Window: 255 | Flags: ACK PSH,1.0
127.0.0.1,127.0.0.1,-0.44367825470805694,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56383 | TCP 49710 → 49709 | Seq: 2271459467 | Ack: 3640221789 | Window: 261 | Flags: ACK,1.0
127.0.0.1,127.0.0.1,-0.08873565094161139,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56384 | TCP 50862 → 50860 | Seq: 4049032759 | Ack: 1204242695 | Window: 255 | Flags: ACK PSH,1.0
127.0.0.1,127.0.0.1,-0.44367825470805694,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56385 | TCP 50860 → 50862 | Seq: 1204242695 | Ack: 4049032760 | Window: 195 | Flags: ACK,1.0
127.0.0.1,127.0.0.1,-0.08873565094161139,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56386 | TCP 49709 → 49710 | Seq: 3640221789 | Ack: 2271459467 | Window: 255 | Flags: ACK PSH,1.0
127.0.0.1,127.0.0.1,-0.44367825470805694,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56387 | TCP 49710 → 49709 | Seq: 2271459467 | Ack: 3640221790 | Window: 261 | Flags: ACK,1.0
127.0.0.1,127.0.0.1,-0.08873565094161139,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56388 | TCP 50862 → 50860 | Seq: 4049032760 | Ack: 1204242695 | Window: 255 | Flags: ACK PSH,1.0
127.0.0.1,127.0.0.1,-0.44367825470805694,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56389 | TCP 50860 → 50862 | Seq: 1204242695 | Ack: 4049032761 | Window: 195 | Flags: ACK,1.0
127.0.0.1,127.0.0.1,-0.08873565094161139,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56390 | TCP 49709 → 49710 | Seq: 3640221790 | Ack: 2271459467 | Window: 255 | Flags: ACK PSH,1.0
127.0.0.1,127.0.0.1,-0.44367825470805694,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56391 | TCP 49710 → 49709 | Seq: 2271459467 | Ack: 3640221791 | Window: 261 | Flags: ACK,1.0
127.0.0.1,127.0.0.1,-0.08873565094161139,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56392 | TCP 50862 → 50860 | Seq: 4049032761 | Ack: 1204242695 | Window: 255 | Flags: ACK PSH,1.0
127.0.0.1,127.0.0.1,-0.44367825470805694,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56393 | TCP 50860 → 50862 | Seq: 1204242695 | Ack: 4049032762 | Window: 195 | Flags: ACK,1.0
127.0.0.1,127.0.0.1,-0.08873565094161139,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56394 | TCP 49709 → 49710 | Seq: 3640221791 | Ack: 2271459467 | Window: 255 | Flags: ACK PSH,1.0
127.0.0.1,127.0.0.1,-0.44367825470805694,IP 127.0.0.1 → 127.0.0.1 | TTL: 128 | ID: 56395 | TCP 49710 → 49709 | Seq: 2271459467 | Ack: 3640221792 | Window: 261 | Flags: ACK,1.0
